Player,Age,Tm,Pos,GP,G,A,PTS,PLMI,PIM,PS,EV,STPP,STSH,GW,EVA,PPA,SHA,S,SP,TTOI,BLK,HIT,CF,CA,CFP,CFPR,FF,FA,FFP,FFPR,OISH ,OISV ,PDO,OZS ,DZS ,TK,GV,EPLMI,TSA,THRUP,CAPHIT
Victor Olofsson,27,BUF,RW,75,28,12,40,-23,4,3.7,21,7,0,5,7,5,0,161,17.4,1077,15,16,787,797,49.7,-2,599,641,48.3,-2.2,9,87.7,96.8,52.5,47.5,24,22,-5.6,273,59,4750000
Alex Ovechkin,37,WSH,LW,73,42,33,75,-16,48,8.5,28,14,0,3,22,11,0,294,14.3,1475,23,188,1162,1168,49.9,-0.7,874,881,49.8,-0.7,10.1,88.6,98.8,74,26,31,52,-0.9,578,50.9,9500000
Ond?ej Palát,31,NJD,LW,49,8,15,23,5,6,1.8,7,1,0,1,13,2,0,79,10.1,761,44,70,714,604,54.2,0.3,521,434,54.6,0.4,9.6,90.1,99.7,54.2,45.8,22,25,13.3,150,52.7,6000000
Kyle Palmieri,31,NYI,RW,55,16,17,33,13,24,3.8,13,3,0,3,15,2,0,122,13.1,940,17,76,819,793,50.8,0.6,585,608,49,-1.5,12.3,91.8,104.1,58.2,41.8,13,20,2.9,240,50.8,5000000
Artemi Panarin,31,NYR,LW,82,29,63,92,4,36,9.1,20,9,0,4,36,27,0,204,14.2,1608,11,26,1309,1124,53.8,5.5,969,836,53.7,4.7,10.5,89.6,100.1,54,46,36,102,5.3,430,47.4,11642857
Zach Parise,38,NYI,LW,82,21,13,34,7,24,3.6,16,3,2,2,11,1,1,182,11.5,1324,83,89,982,1103,47.1,-3.5,706,800,46.9,-3.5,8.1,93.5,101.6,42.5,57.5,18,25,4.8,275,66.2,750000
David Pastr?ák,26,BOS,RW,82,61,52,113,34,38,15.1,43,18,0,13,33,19,0,407,15,1604,33,91,1269,1124,53,3.4,965,849,53.2,3,12.8,91.8,104.6,64.3,35.7,52,109,11.7,727,56,6666667
Lane Pederson,25,TOT,F,27,3,3,6,-1,26,0.3,3,0,0,0,3,0,0,27,11.1,322,11,68,265,312,45.9,-1.6,199,233,46.1,-0.9,10.1,90.2,100.4,47.1,52.9,5,4,0.3,45,60,750000
David Perron,34,DET,LW,82,24,32,56,-7,52,5.3,18,6,0,3,16,16,0,195,12.3,1387,24,107,1014,999,50.4,5.4,776,750,50.9,5.4,11.1,88,99.1,52,48,40,32,7.5,350,55.7,4750000
Corey Perry,37,TBL,RW,81,12,13,25,-28,95,0.9,6,6,0,3,7,6,0,116,10.3,937,25,48,756,697,52,0.4,567,505,52.9,1.6,6.9,86.7,93.6,57.5,42.5,30,26,4.8,194,59.8,1000000
John-Jason Peterka,21,BUF,RW,77,12,20,32,-15,26,1.7,10,2,0,1,17,3,0,125,9.6,1051,10,18,848,873,49.3,-2,637,707,47.4,-3.4,9.6,89,98.6,51.9,48.1,22,19,-5.5,238,52.5,855833
Vasily Podkolzin,21,VAN,RW,39,4,3,7,-5,9,0,4,0,0,0,3,0,0,41,9.8,462,15,52,376,386,49.3,1.7,280,293,48.9,0.8,6.3,92.3,98.5,58.2,41.8,8,16,-0.9,70,58.6,925000
Jesse Puljujärvi,24,TOT,RW,75,5,11,16,-13,32,-0.1,5,0,0,1,11,0,0,125,4,917,26,139,875,709,55.2,1.6,650,523,55.4,3,6.4,89.3,95.6,54.4,45.6,24,20,6,227,55.1,3000000
Jack Quinn,21,BUF,RW,75,14,23,37,-7,15,2.7,13,1,0,2,17,5,1,126,11.1,1039,19,43,800,784,50.5,-0.8,588,637,48,-2.9,11.1,89,100.1,55.3,44.7,28,30,-2.1,257,49,863333
Taylor Raddysh,24,CHI,RW,78,20,17,37,-28,16,2.8,13,7,0,1,9,8,0,129,15.5,1292,38,82,870,1019,46.1,3.9,634,760,45.5,2.6,7.5,89.9,97.4,50.2,49.8,33,29,-4.9,224,57.6,758333
Rickard Rakell,29,PIT,RW,82,28,32,60,-5,16,5.7,17,11,0,2,22,10,0,243,11.5,1512,53,141,1399,1198,53.9,2.7,1033,919,52.9,1.3,9.5,89.7,99.1,62.9,37.1,29,42,8.6,436,55.7,5000000
Mikko Rantanen,26,COL,RW,82,55,50,105,15,82,12.8,42,13,0,9,26,24,0,306,18,1822,41,77,1711,1422,54.6,3.8,1243,1090,53.3,2.9,10.5,90.6,101.2,63.6,36.4,61,45,11.1,559,54.9,9250000
Lucas Raymond,20,DET,LW,74,17,28,45,-17,24,3.4,12,5,0,4,14,14,0,134,12.7,1286,20,43,914,993,47.9,1.4,662,743,47.1,-0.4,9.1,89.4,98.5,48,52,33,27,-3.1,245,54.7,925000
Ryan Reaves,36,TOT,RW,73,5,10,15,-6,43,0.7,5,0,0,0,10,0,0,48,10.4,680,24,196,545,661,45.2,-6.2,406,478,45.9,-6.6,7.5,92.5,100,38.3,61.7,15,16,-2.5,79,60.8,1750000
Brett Ritchie,29,TOT,RW,50,8,5,13,0,25,1.2,8,0,0,0,4,1,0,68,11.8,503,9,77,457,422,52,-1.8,348,310,52.9,-1.3,7.2,91.6,98.8,53.1,46.9,10,18,-1.2,111,61.3,750000
Nick Ritchie,27,TOT,LW,74,13,13,26,-21,53,1.2,9,4,0,2,7,6,0,120,10.8,1003,32,218,747,840,47.1,-0.7,546,648,45.7,-1.1,7.7,89.7,97.4,48.4,51.6,8,19,-5.8,197,60.9,2500000
Jason Robertson,23,DAL,LW,82,46,63,109,37,20,13.9,33,13,0,7,35,28,0,313,14.7,1545,19,57,1419,1080,56.8,7.5,1014,799,55.9,7.4,12.2,90.8,103,56.7,43.3,62,66,24.5,565,55.4,7750000
Eric Robinson,27,CBJ,LW,72,12,12,24,-21,6,1.3,12,0,0,1,10,0,2,98,12.2,1004,32,124,681,967,41.3,-5.1,497,699,41.6,-4.5,7,90.7,97.7,29.8,70.2,30,17,-16,190,52.1,1600000
