Player,Age,Tm,Pos,GP,G,A,PTS,PLMI,PIM,PS,EV,STPP,STSH,GW,EVA,PPA,SHA,S,SP,TTOI,BLK,HIT,FOW,FOL,FOP,CF,CA,CFP,CFPR,FF,FA,FFP,FFPR,OISH ,OISV ,PDO,OZS ,DZS ,TK,GV,EPLMI,TSA,THRUP,CAPHIT
Jonny Brodzinski,29,NYR,C,17,1,1,2,3,8,0.1,1,0,0,0,1,0,0,27,3.7,158,4,9,51,45,53.1,124,125,49.8,-2,92,91,50.3,-1,7.9,95,102.9,60.8,39.2,6,4,0.1,42,64.3,762500
Logan Brown,24,STL,C,30,2,4,6,-4,8,0.1,2,0,0,0,4,0,0,18,11.1,312,7,22,58,110,34.5,204,275,42.6,-4.1,146,200,42.2,-3.5,7.2,91.5,98.7,61.5,38.5,7,5,-2.1,33,54.5,750000
Patrick Brown,30,TOT,C,61,4,8,12,-2,44,0.4,3,0,1,0,8,0,0,60,6.7,694,42,167,178,161,52.5,513,584,46.8,-3.5,397,397,50,-1.3,7.3,91.6,98.9,30,70,9,13,-2.2,122,49.2,750000
Quinton Byfield,20,LAK,C,53,3,19,22,13,30,1.6,2,1,0,0,19,0,0,74,4.1,745,16,53,51,57,47.2,620,555,52.8,0.9,472,413,53.3,-0.2,12.3,90.9,103.2,46.6,53.4,16,19,4.6,145,51,894167
Sam Carrick,30,ANA,C,52,3,4,7,-17,86,-0.6,3,0,0,0,4,0,0,50,6,549,24,98,182,187,49.3,397,623,38.9,-4.3,287,483,37.3,-5.1,6.4,91.4,97.8,31.2,68.8,13,9,-16.1,85,58.8,850000
Jeff Carter,38,PIT,C,79,13,16,29,-16,30,1.7,9,4,0,2,10,5,1,139,9.4,1083,54,80,557,381,59.4,757,865,46.7,-6.5,564,636,47,-6.3,7.1,90.2,97.3,27.3,72.7,26,33,-5.7,240,57.9,3125000
Filip Chytil,23,NYR,C,74,22,23,45,15,30,5.2,19,3,0,4,21,2,0,177,12.4,1087,38,36,251,380,39.8,910,872,51.1,1.8,661,651,50.4,0.6,11.5,91.5,103,55.8,44.2,30,35,2.3,312,56.7,2300000
Anthony Cirelli,25,TBL,C,58,11,18,29,13,33,2.7,8,1,2,1,17,1,0,111,9.9,961,46,34,427,404,51.4,794,732,52,-0.2,588,557,51.4,-0.5,10.2,91.6,101.8,44.2,55.8,40,15,6.3,189,58.7,4800000
Casey Cizikas,31,NYI,C,81,6,15,21,0,54,0.8,6,0,0,0,13,0,2,111,5.4,1177,58,188,501,438,53.4,874,964,47.6,-2.5,646,678,48.8,-0.7,7.3,92.6,99.9,27.7,72.3,35,28,-6.6,189,58.7,2500000
Blake Coleman,31,CGY,C,82,18,20,38,9,54,3.7,16,0,2,2,20,0,0,188,9.6,1247,39,107,20,22,47.6,1281,854,60,3.9,959,651,59.6,3.8,6.9,91.1,98,54.9,45.1,36,32,18.6,331,56.8,4900000
Ross Colton,26,TBL,C,81,16,16,32,-8,50,2.6,12,4,0,3,11,5,0,153,10.5,1000,28,188,106,83,56.1,903,787,53.4,2.4,664,597,52.7,1.6,7.2,91.2,98.4,48.1,51.9,38,20,-1.6,269,56.9,1125000
Andrew Copp,28,DET,C,82,9,33,42,2,25,2.7,7,1,1,2,29,4,0,120,7.5,1489,45,32,647,652,49.8,920,1086,45.9,-0.8,671,837,44.5,-3.4,11.3,91.7,103,44.6,55.4,26,44,-2.4,204,58.8,5625000
Paul Cotter,23,VEG,C,55,13,5,18,-5,15,1.6,13,0,0,1,5,0,0,76,17.1,705,17,168,11,13,45.8,563,769,42.3,-7.6,410,565,42.1,-8.7,8.5,92.3,100.8,49.4,50.6,17,11,-6.5,131,58,760000
Nick Cousins,29,FLA,C,79,9,18,27,-1,38,1.8,9,0,0,2,18,0,0,102,8.8,871,36,87,71,73,49.3,857,825,51,-3.5,641,617,51,-2.4,8.5,90.9,99.4,53.2,46.8,20,18,1.4,175,58.9,1100000
Logan Couture,33,SJS,C,82,27,40,67,-30,19,5.5,21,5,1,4,25,15,0,198,13.6,1569,70,128,640,709,47.4,1038,1111,48.3,-0.4,769,812,48.6,0.5,11.6,84.9,96.5,47.2,52.8,71,35,3.8,342,58.2,8000000
Charlie Coyle,30,BOS,C,82,16,29,45,29,30,4.5,15,0,1,0,25,0,4,139,11.5,1393,63,68,536,483,52.6,994,1099,47.5,-4.4,741,797,48.2,-4.1,10.2,94.1,104.4,35,65,59,42,2.3,241,58.1,5250000
Dylan Cozens,21,BUF,C,81,31,37,68,-3,41,7,24,5,2,1,23,13,1,211,14.7,1336,30,55,567,607,48.3,970,992,49.4,-2.2,758,793,48.9,-1.6,11.1,88.9,100,49.5,50.5,36,20,-5.9,336,62.8,894167
Sidney Crosby,35,PIT,C,82,33,60,93,8,52,9.6,24,9,0,9,42,18,0,255,12.9,1652,47,71,978,868,53,1549,1309,54.2,3.4,1130,987,53.4,2,10.4,90.2,100.6,62.7,37.3,59,67,9.1,443,57.6,8700000
Austin Czarnik,30,DET,C,29,3,2,5,-4,8,0.1,3,0,0,0,1,1,0,27,11.1,324,13,16,69,91,43.1,235,270,46.5,-0.2,177,197,47.3,1.1,7.3,90.4,97.7,51.6,48.4,13,4,-0.8,47,57.4,762500
Kirby Dach,22,MTL,C,58,14,24,38,-2,43,3.1,8,6,0,2,12,10,2,107,13.1,1073,38,53,87,140,38.3,787,778,50.3,4.2,579,555,51.1,5.3,9.9,89.3,99.2,57.4,42.6,27,31,-0.6,185,57.8,3362500
Phillip Danault,29,LAK,C,82,18,36,54,-8,63,4,15,3,0,1,17,17,2,152,11.8,1503,75,81,692,581,54.4,1176,1054,52.7,0.9,883,741,54.4,1.3,7.8,90.1,97.9,47.3,52.7,27,32,6.8,252,60.7,5500000
Laurent Dauphin,27,ARI,C,21,1,0,1,-4,10,-0.3,1,0,0,0,0,0,0,25,4,220,10,17,84,73,53.5,185,211,46.7,0,123,159,43.6,-3.5,3.5,93.9,97.4,46.7,53.3,10,4,-3.6,41,61,750000
Ty Dellandrea,22,DAL,C,82,9,19,28,9,54,2,9,0,0,2,16,0,3,92,9.8,1164,39,125,102,99,50.7,924,871,51.5,-0.3,667,661,50.2,-0.8,10.2,90.9,101.1,51,49,22,25,0.5,174,52.9,863333
Connor Dewar,23,MIN,C,81,6,12,18,-5,50,0.8,3,0,3,0,11,0,1,87,6.9,888,50,124,222,281,44.1,595,678,46.7,-3.3,442,482,47.8,-2.7,6.3,92,98.4,35.1,64.9,18,10,-3.1,169,51.5,800000
Jason Dickinson,27,CHI,C,78,9,21,30,-29,28,1.1,8,1,0,1,17,0,4,114,7.9,1243,80,112,368,403,47.7,829,1015,45,1.1,623,760,45,0.9,8.7,87,95.7,41.9,58.1,54,36,-12.4,209,54.5,2650000
Ryan Donato,26,SEA,C,71,14,13,27,16,46,3,14,0,0,0,11,2,0,122,11.5,799,12,69,62,85,42.2,695,625,52.7,0,527,464,53.2,0.2,11.1,92.3,103.4,51.5,48.5,36,15,5.2,203,60.1,1200000
Nic Dowd,32,WSH,C,65,13,12,25,6,26,2.6,13,0,0,3,11,0,1,62,21,868,61,136,433,419,50.8,654,658,49.8,-1,486,447,52.1,2,9.6,90.6,100.1,17.2,82.8,28,34,4.4,108,57.4,1300000
Leon Draisaitl,27,EDM,C,80,52,76,128,7,24,14.2,19,32,1,11,45,30,1,247,21.1,1739,40,66,807,663,54.9,1379,1254,52.4,0.4,1053,987,51.6,0,11.6,88.9,100.5,51.4,48.6,77,102,11.6,423,58.4,8500000
Sheldon Dries,28,VAN,C,63,11,6,17,-9,29,1,6,4,1,0,5,1,0,94,11.7,726,40,84,235,236,49.9,500,604,45.3,-4.2,365,436,45.6,-4.1,8.8,90.4,99.1,47.8,52.2,4,18,-1.2,161,58.4,762500
Jack Drury,22,CAR,C,38,2,6,8,3,14,0.5,2,0,0,1,5,1,0,69,2.9,410,16,12,67,59,53.2,447,242,64.9,7,329,181,64.5,7.5,6.2,91.9,98.1,59.1,40.9,9,6,4.8,109,63.3,925000
Dillon Dubé,24,CGY,C,82,18,27,45,-6,47,3.8,15,1,2,3,24,3,0,151,11.9,1243,21,136,45,55,45,1078,877,55.1,-2.7,799,673,54.3,-3.3,9.8,87.6,97.3,58.4,41.6,24,28,-2,267,56.6,2300000
Matt Duchene,32,NSH,C,71,22,34,56,4,32,5.7,17,5,0,3,26,8,0,168,13.1,1301,32,27,137,122,52.9,1107,1091,50.4,2.2,822,828,49.8,2.1,11.3,89.8,101,60.6,39.4,35,60,2,319,52.7,8000000
Christian Dvorak,26,MTL,C,64,10,18,28,-12,6,1.4,9,0,1,1,15,3,0,88,11.4,1079,66,13,477,440,52,683,873,43.9,-2.6,470,642,42.3,-4.8,9.1,90.3,99.4,39.9,60.1,20,34,-9.3,144,61.1,4450000
Jack Eichel,26,VEG,C,67,27,39,66,26,6,7.8,25,2,0,2,26,12,1,223,12.1,1257,56,59,359,434,45.3,1052,1066,49.7,3.2,792,737,51.8,4.7,12.1,91.3,103.4,53.3,46.7,47,54,5.7,359,62.1,10000000
Lars Eller,33,TOT,C,84,10,13,23,3,46,1.4,9,0,1,1,13,0,0,140,7.1,1243,42,93,549,474,53.7,1030,985,51.1,-1,742,699,51.5,-0.3,7.7,91.6,99.4,38.5,61.5,40,36,5.7,268,52.2,2415000
Joel Eriksson Ek,26,MIN,C,78,23,38,61,4,44,6.1,9,12,2,1,26,11,1,247,9.3,1482,55,119,684,702,49.4,1021,1014,50.2,0.3,770,748,50.7,0.3,9.2,91.1,100.3,40.5,59.5,44,14,2.3,397,62.2,5250000
Jake Evans,26,MTL,C,54,2,17,19,-5,28,0.5,1,1,0,0,15,0,2,55,3.6,782,41,27,338,312,52,524,624,45.6,-2.6,365,437,45.5,-2.2,8.2,90.6,98.9,40.4,59.6,19,29,-6.5,107,51.4,1700000
Michael Eyssimont,26,TOT,C,54,5,10,15,3,63,1,5,0,0,0,10,0,0,124,4,662,19,107,12,22,35.3,680,531,56.2,6.4,504,409,55.2,5.8,8.7,91.2,99.9,49,51,29,15,7.6,216,57.4,750000
Robby Fabbri,27,DET,C,28,7,9,16,-1,22,1.5,4,3,0,3,4,5,0,35,20,448,15,49,10,16,38.5,251,387,39.3,-9.1,180,285,38.7,-10.9,10.6,93.5,104.1,41.5,58.5,6,12,-2.1,65,53.8,4000000
Radek Faksa,29,DAL,C,81,11,9,20,9,39,1.5,10,0,1,3,8,0,1,88,12.5,1111,69,89,309,243,56,835,782,51.6,-0.2,590,550,51.8,1,7.3,93.8,101.2,38.3,61.7,26,18,3.2,141,62.4,3250000
Liam Foudy,22,CBJ,C,62,7,7,14,-26,8,0,7,0,0,0,7,0,0,67,10.4,752,18,60,3,6,33.3,579,725,44.4,-0.7,416,552,43,-1.7,6.8,88.3,95,45.1,54.9,23,7,-8.9,130,51.5,762500
Trent Frederic,24,BOS,C,79,17,14,31,28,57,4,17,0,0,6,13,0,1,120,14.2,942,36,105,24,48,33.3,789,807,49.4,-1.4,600,586,50.6,-0.7,11.3,94.5,105.9,41.2,58.8,24,20,5.6,189,63.5,1050000
Morgan Frost,23,PHI,C,81,19,27,46,-12,24,3.8,18,1,0,3,23,4,0,155,12.3,1324,53,85,436,515,45.8,1025,1113,47.9,0.5,773,798,49.2,0.6,9.7,89.2,98.9,56,44,37,26,3.3,277,56,800000
Sam Gagner,33,WPG,C,48,8,6,14,-4,13,1.1,7,1,0,2,4,2,0,78,10.3,584,14,16,14,32,30.4,506,452,52.8,2.4,390,348,52.8,2.9,6.7,91.2,97.9,56,44,12,10,1.2,125,62.4,750000
Dylan Gambrell,26,OTT,C,60,4,6,10,-4,25,0.2,4,0,0,0,4,0,2,46,8.7,683,45,60,138,168,45.1,426,525,44.8,-8.2,315,371,45.9,-7.8,6.8,92.5,99.3,30.9,69.1,14,17,-6.3,87,52.9,950000
Frédérick Gaudreau,29,MIN,C,82,19,19,38,10,10,3.9,12,3,4,3,17,1,1,138,13.8,1316,52,42,500,515,49.3,886,1016,46.6,-3.9,655,720,47.6,-3.4,9.3,92.6,101.9,50.2,49.8,42,21,-5.2,207,66.7,1200000
