Player,Age,Tm,Pos,GP,G,A,PTS,PLMI,PIM,PS,EV,STPP,STSH,GW,EVA,PPA,SHA,S,SP,TTOI,BLK,HIT,FOW,FOL,FOP,CF,CA,CFP,CFPR,FF,FA,FFP,FFPR,OISH ,OISV ,PDO,OZS ,DZS ,TK,GV,EPLMI,TSA,THRUP,CAPHIT
Mason Shaw,24,MIN,C,59,7,10,17,-1,79,1.3,7,0,0,0,8,0,2,92,7.6,666,27,87,15,13,53.6,481,516,48.2,-2.2,354,375,48.6,-2.4,6.9,92.4,99.4,36.4,63.6,17,18,-2.1,153,60.1,750000
Devin Shore,28,EDM,C,47,1,8,9,6,4,0.4,1,0,0,0,8,0,0,33,3,421,24,46,89,86,50.9,354,378,48.4,-4.2,258,280,48,-3.8,6.9,96.6,103.4,47.7,52.3,14,12,2.6,61,54.1,850000
Colton Sissons,29,NSH,C,82,12,18,30,-4,20,2,11,0,1,1,16,2,0,87,13.8,1298,72,164,593,515,53.5,849,1061,44.5,-4.4,633,775,45,-3.3,9.4,91.4,100.9,33,67,32,27,-13.7,179,48.6,2857143
Eric Staal,38,FLA,C,72,14,15,29,-5,26,2,12,0,2,1,15,0,0,106,13.2,1025,45,27,343,400,46.2,823,805,50.6,-5,619,612,50.3,-4.2,7.5,90.8,98.3,46.8,53.2,33,31,2.6,183,57.9,750000
Jordan Staal,34,CAR,C,81,17,17,34,7,32,3.3,16,0,1,3,16,0,1,124,13.7,1318,39,155,821,653,55.7,1166,756,60.7,0.8,860,574,60,0.7,8.7,89.1,97.7,52,48,33,30,9.9,201,61.7,6000000
Steven Stamkos,32,TBL,C,81,34,50,84,-5,46,8.4,20,14,0,6,29,21,0,240,14.2,1541,51,92,501,430,53.8,1175,1156,50.4,-1.8,876,857,50.5,-1.4,12.3,88.6,100.9,53.3,46.7,25,54,4,449,53.5,8500000
Paul Stastny,37,CAR,C,73,9,13,22,4,16,1.9,7,2,0,3,11,2,0,80,11.3,867,18,21,280,206,57.6,878,563,60.9,1,656,437,60,0.3,6.9,92,98.9,60.1,39.9,20,8,8.8,137,58.4,1500000
Sam Steel,24,MIN,C,65,10,18,28,11,18,2.6,9,0,1,2,15,3,0,85,11.8,972,15,46,308,325,48.7,816,743,52.3,2.6,609,553,52.4,2.4,10.5,91.3,101.8,57.3,42.7,21,22,5.6,149,57,825000
Kevin Stenlund,26,WPG,C,54,6,3,9,3,20,0.6,4,0,2,0,3,0,0,63,9.5,629,28,31,280,246,53.2,442,406,52.1,0.1,326,296,52.4,0.8,6.7,93.7,100.3,27.2,72.8,25,12,-2.4,117,53.8,750000
Derek Stepan,32,CAR,C,73,5,6,11,8,8,0.9,5,0,0,0,5,0,1,98,5.1,663,21,29,229,193,54.3,745,404,64.8,5.5,560,308,64.5,6,6,93.4,99.3,60.6,39.4,24,10,8.4,178,55.1,750000
