Player,Age,Tm,Pos,GP,G,A,PTS,PLMI,PIM,PS,EV,STPP,STSH,GW,EVA,PPA,SHA,S,SP,TTOI,BLK,HIT,CF,CA,CFP,CFPR,FF,FA,FFP,FFPR,OISH ,OISV ,PDO,OZS ,DZS ,TK,GV,EPLMI,TSA,THRUP,CAPHIT
Chris Tanev,33,CGY,D,65,1,12,13,7,21,3.2,1,0,0,1,11,1,0,75,1.3,1308,130,51,1209,829,59.3,4,888,614,59.1,4.4,8.1,89.1,97.1,51.8,48.2,24,34,13.2,163,46,4500000
Shea Theodore,27,VEG,D,55,8,33,41,16,18,6.8,6,2,0,2,26,7,0,136,5.9,1179,86,16,1062,1020,51,6.5,757,717,51.4,5.5,10.4,91.7,102.1,50.6,49.4,28,24,6.4,282,48.2,5200000
Conor Timmins,24,TOT,D,27,2,12,14,-1,8,1.8,2,0,0,1,8,4,0,19,10.5,407,18,23,345,293,54.1,3.4,255,215,54.3,2.5,10.8,87.4,98.2,59.3,40.7,6,17,2.6,52,36.5,850000
Jarred Tinordi,30,CHI,D,44,2,6,8,-17,40,0.7,2,0,0,1,6,0,0,32,6.3,724,68,139,426,639,40,-4.4,316,474,40,-4.9,7.5,89.9,97.3,30.8,69.2,11,20,-11.9,78,41,900000
Devon Toews,28,COL,D,80,7,43,50,39,26,10,6,1,0,0,37,6,0,165,4.2,2009,138,93,1696,1407,54.7,3.8,1245,1050,54.2,4.3,10.7,92.3,102.9,57.3,42.7,45,39,14.9,309,53.4,4100000
Jacob Trouba,28,NYR,D,82,8,22,30,7,63,5.8,5,2,1,2,18,3,1,199,4,1738,196,218,1381,1377,50.1,0.1,1034,992,51,0.9,10.1,89.7,99.8,46.5,53.5,32,49,-3.1,362,55,8000000
Juuso Valimaki,24,ARI,D,78,4,30,34,-10,59,4,3,1,0,1,19,11,0,93,4.3,1418,98,53,1038,1060,49.5,5.9,795,802,49.8,7.1,10.6,88.3,99,42.9,57.1,17,49,0,194,47.9,1550000
Trevor van Riemsdyk,31,WSH,D,75,7,16,23,10,15,5.1,7,0,0,0,15,1,0,97,7.2,1430,160,21,1179,1136,50.9,0.6,860,848,50.4,0.2,10.6,90.8,101.3,57.7,42.3,30,40,6.8,194,50,950000
Marc-Édouard Vlasic,35,SJS,D,78,1,17,18,-14,16,2.3,1,0,0,0,17,0,0,67,1.5,1363,116,45,1011,1120,47.4,-2.3,750,829,47.5,-1.9,9.2,89.1,98.3,35.4,64.6,34,37,0.6,179,37.4,7000000
Sean Walker,28,LAK,D,70,3,10,13,-3,36,2.2,3,0,0,1,9,1,0,94,3.2,1038,104,77,961,910,51.4,-0.1,727,634,53.4,0.9,8.6,88.9,97.6,52.6,47.4,13,32,0.6,185,50.8,2650000
Jake Walman,26,DET,D,63,9,9,18,10,45,4.9,9,0,0,2,7,2,0,140,6.4,1242,121,47,945,941,50.1,3.5,716,676,51.4,4.7,9.8,91.2,101.1,44.8,55.2,33,36,7.6,257,54.5,1050000
MacKenzie Weegar,29,CGY,D,81,4,27,31,15,43,6.1,4,0,0,1,23,3,1,160,2.5,1709,117,186,1661,1054,61.2,6,1209,780,60.8,6,7.7,90.3,97.9,55.9,44.1,38,62,20.2,356,44.9,3250000
Colton White,25,ANA,D,46,0,6,6,-17,8,0,0,0,0,0,6,0,0,30,0,668,37,34,439,647,40.4,-3.7,327,514,38.9,-4.3,8.8,88.9,97.7,41.7,58.3,7,12,-12.7,57,52.6,762500
Zach Whitecloud,26,VEG,D,59,5,7,12,10,41,3.2,5,0,0,1,7,0,0,64,7.8,1010,97,90,755,935,44.7,-3.7,547,671,44.9,-4.8,10.5,92.9,103.4,40.5,59.5,24,25,-1.7,139,46,2750000
Chris Wideman,33,MTL,D,46,0,6,6,-6,81,0.6,0,0,0,0,4,2,0,31,0,622,51,25,482,587,45.1,0.6,350,446,44,-0.7,9.5,90.8,100.3,61.5,38.5,7,37,-7.4,67,46.3,762500
Parker Wotherspoon,25,NYI,D,12,0,1,1,5,4,0.6,0,0,0,0,1,0,0,10,0,160,7,8,140,127,52.4,2.5,116,92,55.8,5,8.5,96.6,105.1,41.7,58.3,4,1,2.3,17,58.8,750000
Nikita Zadorov,27,CGY,D,82,14,7,21,10,80,5.6,14,0,0,2,6,1,0,130,10.8,1532,75,174,1531,1030,59.8,3.8,1124,776,59.2,3.5,8.3,89.4,97.7,61,39,31,57,11.4,268,48.5,3750000
Nikita Zaitsev,31,TOT,D,46,1,7,8,-9,20,1.1,1,0,0,0,7,0,0,20,5,757,72,95,510,727,41.2,-9.7,373,542,40.8,-10.1,9.3,91.4,100.7,41.2,58.8,7,23,-11.8,50,40,4500000
Jakub Zbo?il,25,BOS,D,22,1,3,4,-1,6,0.6,1,0,0,1,3,0,0,13,7.7,292,19,31,221,243,47.6,-3,174,187,48.2,-2.3,9.4,90.9,100.3,53.6,46.4,4,5,-1.1,31,41.9,1137500
Artem Zub,27,OTT,D,53,3,7,10,2,39,2.5,3,0,0,0,7,0,0,41,7.3,1073,67,131,890,895,49.9,-3,662,632,51.2,-2.1,8.6,91.1,99.7,44.8,55.2,8,31,-0.9,109,37.6,2500000
